series_id,group_id,currency_to_sek,date,currency,currency_description,source
SEKGBPPMI,130,13.0163,2024-01-10,GBP,pound sterling,Sveriges Riksbank
SEKETT,130,1.0,2024-01-10,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.197,2024-01-10,EUR,Euroland euro,Sveriges Riksbank
SEKDKKPMI,130,1.5013,2024-01-10,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.2293,2024-01-10,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2024-01-09,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5034,2024-01-09,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.2482,2024-01-09,USD,US dollar,Sveriges Riksbank
SEKGBPPMI,130,13.046,2024-01-09,GBP,pound sterling,Sveriges Riksbank
SEKEURPMI,130,11.2115,2024-01-09,EUR,Euroland euro,Sveriges Riksbank
SEKETT,130,1.0,2024-01-08,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.0116,2024-01-08,GBP,pound sterling,Sveriges Riksbank
SEKEURPMI,130,11.2095,2024-01-08,EUR,Euroland euro,Sveriges Riksbank
SEKUSDPMI,130,10.2407,2024-01-08,USD,US dollar,Sveriges Riksbank
SEKDKKPMI,130,1.5023,2024-01-08,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.2875,2024-01-05,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.235,2024-01-05,EUR,Euroland euro,Sveriges Riksbank
SEKETT,130,1.0,2024-01-05,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5064,2024-01-05,DKK,Danish krone,Sveriges Riksbank
SEKGBPPMI,130,13.0321,2024-01-05,GBP,pound sterling,Sveriges Riksbank
SEKETT,130,1.0,2024-01-04,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.2168,2024-01-04,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.1905,2024-01-04,EUR,Euroland euro,Sveriges Riksbank
SEKDKKPMI,130,1.5003,2024-01-04,DKK,Danish krone,Sveriges Riksbank
SEKGBPPMI,130,12.9703,2024-01-04,GBP,pound sterling,Sveriges Riksbank
SEKEURPMI,130,11.1915,2024-01-03,EUR,Euroland euro,Sveriges Riksbank
SEKGBPPMI,130,12.9426,2024-01-03,GBP,pound sterling,Sveriges Riksbank
SEKUSDPMI,130,10.2496,2024-01-03,USD,US dollar,Sveriges Riksbank
